date,forecast_value
2022-02,3.399632543119732
2022-03,3.2455691018987647
2022-04,2.9312219117567206
2022-05,2.926812430466271
2022-06,3.0479179208789624
2022-07,3.0548977794662884
2022-08,2.9240919121718254
2022-09,3.0019857836090913
2022-10,2.8909001872500504
2022-11,3.176185863255963
2022-12,3.428900133843082
2023-01,2.6701813598323856
2023-02,3.1398934795959175
2023-03,3.0597438759762574
2023-04,2.755593754217076
2023-05,2.7565117014359846
2023-06,2.890658534275576
2023-07,2.9115038887131104
2023-08,2.802197113927563
2023-09,2.899346439835109
2023-10,2.800325891623869
2023-11,3.0947342324882454
2023-12,3.3719957771180935
2024-01,2.6322490374917704
2024-02,3.130288081032528
2024-03,3.0761312833006897
2024-04,2.8015663393699426
2024-05,2.827647962065525
2024-06,2.9804403448477323
2024-07,3.017059169617058
2024-08,2.9155462635416742
2024-09,3.019068364218649
2024-10,2.9262857948726784
2024-11,3.2322930755627124
2024-12,3.5072910991665487
